key,name,iata,web,type,dateFundation,mail,phone
# base entity
airline-01,"Lorem ipsum","ABX","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"

# name - standard variations
airline-02,"Lorem ipsum dolor sit ame","ABD","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-03,"L","ABE","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-04,"Lo","ABF","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-05,"Lorem ipsum dolor sit amet; consectetur adipiscin","ABG","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-06,"Lorem ipsum dolor sit amet; consectetur adipiscing","ABH","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
# name - no singular values
airline-07,"โลเร็ม อิปซัม","ABI","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-08,"لوريم إيبسوم","ABJ","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-09,"洛伦·伊普森","ABK","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-10,"<marquee>Hacked</marquee>","ABL","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-11,"<script>alert(‘Hacked!’);</script>","ABM","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-12,"'' or 'A' = 'A","ABN","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"

# iata - standard variations
airline-13,"Lorem ipsum","AAA","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-14,"Lorem ipsum","ZZZ","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-15,"Lorem ipsum","NXY","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"

# web - standard variations
airline-16,"Lorem ipsum","ABO","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
# singular
airline-17,"Lorem ipsum","ABP","http://lorem.com/ipsum",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
airline-18,"Lorem ipsum","ABQ","http://www.lorem-ipsum.org/dolor/sit.html",LUJO,2008/02/02 00:00,"acme@lorem-ipsum.org","+34987654321"
